osm_key,osm_value,resistance,priority,citation_key
landuse,forest,1,1,[Hab-Ziolkowska]
natural,wood,1,1,[Hab-Ziolkowska]
natural,scrub,3,1,[Hab-Ziolkowska]
natural,heath,8,1,[Hab-Ziolkowska]
landuse,meadow,5,1,[Hab-Ziolkowska]
natural,grassland,5,1,[Hab-Ziolkowska]
landuse,farmland,20,1,[Hab-Ziolkowska]
landuse,orchard,10,1,[Hab-Ziolkowska]
landuse,vineyard,15,1,[Hab-Ziolkowska]
landuse,allotments,100,1,[Hab-Ziolkowska]
landuse,grass,5,1,[Hab-Ziolkowska]
landuse,recreation_ground,250,2,[Hab-Ziolkowska]
leisure,park,200,2,[Hab-Ziolkowska]
leisure,golf_course,300,2,[Hab-Ziolkowska]
leisure,nature_reserve,2,2,[Hab-Ziolkowska]
highway,path,10,3,[PA2-Logic]
highway,footway,15,3,[PA2-Logic]
highway,bridleway,10,3,[PA2-Logic]
highway,cycleway,15,3,[PA2-Logic]
highway,track,20,3,[PA2-Logic]
waterway,ditch,50,4,[PA2-Logic]
waterway,stream,150,4,[Expert-Comp]
barrier,hedge,30,4,[Hab-Ziolkowska]
highway,residential,200,5,[Infra-COST341]
highway,service,250,5,[Infra-COST341]
highway,unclassified,200,5,[Infra-COST341]
landuse,residential,3500,5,[Expert-Comp]
highway,tertiary,500,6,[Infra-COST341]
highway,tertiary_link,500,6,[Infra-COST341]
landuse,cemetery,150,6,[PA2-Logic]
landuse,quarry,1500,6,[Expert-Comp]
natural,scree,250,6,[Expert-Comp]
natural,shingle,150,6,[Expert-Comp]
highway,secondary,1000,7,[Infra-COST341]
highway,secondary_link,1000,7,[Infra-COST341]
barrier,fence,800,7,[PA2-Logic]
barrier,wall,1500,7,[PA2-Logic]
barrier,cattle_grid,50,7,[PA2-Logic]
highway,primary,2000,8,[Infra-COST341]
highway,primary_link,2000,8,[Infra-COST341]
waterway,river,4000,8,[Expert-Comp]
natural,wetland,75,8,[Expert-Comp]
natural,bare_rock,300,8,[Expert-Comp]
landuse,commercial,4500,9,[Expert-Comp]
landuse,industrial,4500,9,[Expert-Comp]
landuse,retail,4500,9,[Expert-Comp]
railway,rail,3000,9,[Infra-COST341]
landuse,railway,3000,9,[Infra-COST341]
highway,trunk,5000,10,[Infra-COST341]
highway,trunk_link,5000,10,[Infra-COST341]
highway,motorway,5000,10,[Infra-COST341]
highway,motorway_link,5000,10,[Infra-COST341]
building,yes,5000,10,[Expert-Comp]
natural,cliff,4000,10,[PA2-Logic]
